                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8212,                 7.0911,                 4.2037,                      0,                      0,                      0,                      0,                  5.245,                 6.6932,                 4.2231,             0.00036278,             0.00036278,             0.00036278
                      2,                  3.556,                 5.3595,                 3.4252,                      0,                      0,                      0,                      0,                 5.4746,                 6.3661,                 4.6334,             0.00072585,             0.00072585,             0.00072585
                      3,                 2.9579,                 4.3838,                 2.8157,                0.47705,                0.10699,                0.04402,                0.02181,                 2.8054,                  4.699,                 2.9372,              0.0010816,              0.0010816,              0.0010816
                      4,                 2.3719,                 3.4654,                 2.3939,                0.34254,                0.08485,                0.07939,                0.04099,                 2.1577,                 4.0097,                 2.4741,               0.001078,               0.001078,               0.001078
                      5,                 2.1597,                 2.9646,                 2.2055,                0.57182,                0.48139,                0.40619,                0.22247,                 1.7266,                 2.7613,                  2.108,               0.001078,               0.001078,               0.001078
                      6,                 1.9877,                 2.4089,                 2.0831,                0.64082,                0.50419,                0.50161,                0.26333,                 1.6193,                 2.2341,                 2.0649,               0.001067,               0.001067,               0.001067
                      7,                 1.8028,                 2.0131,                 1.9178,                0.76788,                0.63321,                0.65425,                0.39426,                  1.443,                 2.0219,                 1.8863,               0.001056,               0.001056,               0.001056
                      8,                 1.7201,                 1.7974,                 1.8334,                0.72056,                0.53154,                0.52824,                0.30465,                  1.431,                 1.9039,                 1.8628,               0.001045,               0.001045,               0.001045
                      9,                 1.6138,                  1.651,                 1.7452,                0.73483,                0.50199,                0.55713,                0.35739,                 1.2696,                 1.9814,                 1.7328,               0.001034,               0.001034,               0.001034
                     10,                 1.5191,                 1.5807,                  1.671,                0.87478,                0.61406,                0.71321,                0.45836,                 1.2962,                  1.382,                 1.7056,               0.001023,               0.001023,               0.001023
                     11,                 1.4213,                 1.4553,                 1.6111,                0.81712,                 0.6992,                0.70653,                 0.4584,                 1.2455,                  1.357,                 1.6138,               0.001012,               0.001012,               0.001012
                     12,                 1.3537,                 1.3723,                  1.547,                 0.8871,                 0.7038,                0.73819,                 0.5297,                 1.1426,                 1.3547,                 1.5432,               0.001001,               0.001001,               0.001001
                     13,                 1.3737,                  1.342,                 1.5697,                0.88037,                 0.7276,                0.74813,                0.50829,                 1.1636,                 1.2315,                 1.5609,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2906,                  1.256,                  1.489,                0.86787,                0.72616,                0.78347,                0.54457,                 1.1957,                 1.2209,                 1.5724,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2654,                 1.2186,                 1.4695,                0.87919,                0.71654,                0.75636,                0.49827,                 1.2418,                 1.2084,                 1.5602,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.2448,                 1.2128,                 1.4489,                0.89794,                0.73818,                0.75054,                0.52607,                 1.2051,                 1.2405,                 1.5332,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2169,                 1.1277,                 1.4156,                0.90873,                 0.7261,                0.77127,                0.53117,                 1.2201,                 1.1314,                 1.4995,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.1635,                 1.0739,                 1.3665,                0.93147,                0.74549,                0.81111,                0.57029,                 1.0698,                 1.0772,                 1.4279,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.1505,                 1.0645,                 1.3286,                0.95084,                0.69454,                0.80704,                0.57642,                 1.0646,                 1.0633,                 1.4144,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.1138,                 1.0387,                 1.3416,                0.91942,                 0.7629,                0.81042,                0.58107,                 1.0458,                0.95118,                 1.3728,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.1772,                  1.012,                 1.3606,                0.89077,                0.72543,                0.79826,                0.57211,                 1.0302,                 1.0612,                 1.3689,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.1093,                 1.0029,                 1.3009,                0.94297,                0.68965,                0.82176,                0.60793,                0.97711,                 1.0065,                 1.2969,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0846,                0.94224,                 1.2873,                0.88098,                 0.7254,                0.87951,                 0.6216,                 1.0596,                0.98697,                 1.3494,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0927,                0.90377,                 1.2856,                0.94521,                0.76205,                0.84284,                0.60874,                 1.0611,                0.88677,                 1.3663,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.0848,                 0.9099,                 1.2548,                0.83148,                0.84033,                0.89511,                0.61783,                 1.1167,                0.97437,                 1.3881,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0737,                0.87931,                 1.2668,                0.92961,                0.75323,                0.86024,                0.63346,                0.99146,                0.91772,                 1.2985,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.0773,                0.89765,                 1.2684,                0.80547,                0.82199,                0.86547,                0.62747,                 1.0231,                0.93173,                 1.3485,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.0187,                0.86114,                 1.2429,                0.85212,                0.82775,                0.87401,                0.64135,                  1.001,                0.88736,                 1.3005,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.0565,                0.85049,                 1.2388,                0.87241,                0.67127,                0.83897,                0.61942,                0.96621,                 1.1147,                  1.276,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.0354,                0.83298,                 1.2193,                0.68264,                0.85094,                0.83836,                0.59677,                 1.0957,                0.91979,                  1.372,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.0499,                0.83822,                 1.2215,                0.94967,                0.74173,                0.85148,                0.59816,                 0.9911,                0.87071,                 1.2917,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.0198,                0.83418,                 1.2087,                0.82307,                0.85532,                0.85273,                0.62309,                0.95696,                0.83842,                 1.2648,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.0171,                0.77319,                 1.2116,                0.88175,                 0.8072,                 0.8293,                0.63267,                0.97677,                0.81267,                 1.2683,             0.00077003,             0.00077003,             0.00077003
